"Name","Edition","Platform","Format","Region","Now Playing","Backlogged","Ownership Status","Progress Status","Est. Value","Amt. Paid","Tags","Box/Case","Cart/Disc","Manual","Extras","Acquisition Type","Acquisition Source","Acquisition Date","Rating","Initial Release Date","Item Release Date","Added On","Genre"
"Mon-Yu: Defeat Monsters And Gain Strong Weapons And Armor. You May Be Defeated, But Don't Give Up. Become Stronger. I Believe There Will Be A Day When The Heroes Defeat The Devil King","","Nintendo Switch","Physical (Unassigned)","NA","No","No","Owned","Finished","$17.38","$60.00","","","","","","Purchase","","10/6/2023","","","","10/19/2023",""
"Monark","","PlayStation 5","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","$15.38","$20.00","","","","","","Purchase","","","","","","11/28/2023",""
"Monster Boy and the Cursed Kingdom","","Nintendo Switch","Digital","NA","No","Yes","Owned","Incomplete","","$13.99","","","","","","Purchase","","","","12/4/2018","12/4/2018","11/4/2022","Platformer"
"Monster Hunter 4 Ultimate","","Nintendo 3DS","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","$20.00","","","","","","","Purchase","","","","10/11/2014","2/13/2015","4/29/2017","Action RPG"
"Monster Hunter Rise","","Nintendo Switch","Digital","NA","No","Yes","Owned","Incomplete","","$7.50","","","","","","Purchase","","","","3/26/2021","3/26/2021","6/23/2025","Action RPG"
"Monster Hunter Rise: Sunbreak","","Nintendo Switch","Digital","NA","No","Yes","Owned","Incomplete","","$7.50","","","","","","Purchase","","","","","","6/23/2025",""
"Monster Hunter Stories","","Nintendo Switch","Digital (Nintendo eShop)","NA","No","Yes","Owned","Incomplete","","$9.00","","","","","","Purchase","","","","10/8/2016","6/14/2024","12/11/2025","JRPG"
"Monster Hunter Stories","","Nintendo 3DS","Digital (Nintendo eShop)","NA","No","Yes","Owned","Incomplete","","$28.00","","","","","","Purchase","","","","10/8/2016","9/8/2017","6/18/2018","JRPG"
"Monster Hunter Stories 2: Wings of Ruin","","Nintendo Switch","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","$14.96","$30.00","","","","","","Purchase","","","","7/9/2021","7/9/2021","1/16/2023","RPG"
"Monster Hunter: Generations Ultimate","","Nintendo Switch","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","$20.85","$60.00","","","","","","Purchase","","","","8/25/2017","8/28/2018","10/13/2018","Action RPG"
"Monster Hunter: World","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Finished","$7.37","$60.00","","","","","","Purchase","","","","1/26/2018","1/26/2018","11/26/2018","Action RPG"
"Monster Hunter: World","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","1/26/2018","","6/11/2024","Action RPG"
"Monster Hunter: World - Iceborne","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","6/11/2024","Action RPG"
"Monster Hunter: World - Iceborne Master Edition","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","$20.00","","","","","","Purchase","","","","9/6/2019","","6/11/2024","Compilation"
"Monster Sanctuary","","Nintendo Switch","Digital (Nintendo eShop)","NA","No","No","Owned","Finished","","$13.00","","","","","","Purchase","","","","","","6/3/2021",""
"Monster Train","","Nintendo Switch","Digital","NA","No","Yes","Owned","Incomplete","","$8.00","","","","","","Purchase","","","","5/21/2020","","11/29/2023","Card Game"
"Moonlighter","","Nintendo Switch","Digital","NA","No","Yes","Owned","Incomplete","","$3.00","","","","","","Purchase","","5/25/2023","","5/29/2018","11/5/2018","5/30/2023","Action-adventure"
"Murder by Numbers","","Nintendo Switch","Digital (Nintendo eShop)","NA","No","Yes","Owned","Incomplete","","$9.99","","","","","","Purchase","","","","","","6/17/2020",""
"My Time At Portia","","Nintendo Switch","Digital (Nintendo eShop)","NA","No","Yes","Owned","Incomplete","","$4.00","","","","","","Purchase","","11/10/2023","","1/15/2019","4/16/2019","11/12/2023","Simulation"
"Natural Doctrine","","PlayStation 4","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","$15.82","$30.00","","","","","","Purchase","","","","4/3/2014","9/30/2014","1/19/2026","Turn-based Tactics"
"Nelke & the Legendary Alchemists ~Ateliers of the New World~","","Nintendo Switch","Digital (Nintendo eShop)","NA","No","No","Owned","Finished","","$20.00","","","","","","Purchase","","","","1/31/2019","3/26/2019","2/16/2021","RPG"
"NEO: The World Ends With You","","Nintendo Switch","Digital (Nintendo eShop)","NA","No","No","Owned","Finished","","$60.00","","","","","","Purchase","","","","7/27/2021","7/27/2021","7/29/2021","JRPG"
"New Super Lucky's Tale","","PC / Windows","Digital","NA","No","Yes","Owned","Incomplete","","$0.00","","","","","","Purchase","","","","11/8/2019","","1/5/2025","Platformer"
"New Super Mario Bros.","","Nintendo DS","Physical (Unassigned)","NA","No","No","Owned","Finished","$17.31","","","","","","","Purchase","","","","5/15/2006","5/15/2006","4/29/2017","Platformer"
"New Super Mario Bros. U","","Wii U","Physical (Unassigned)","NA","No","No","Owned","Finished","$13.15","","","","","","","Purchase","","","","11/18/2012","11/18/2012","4/29/2017","Platformer"
"New Super Mario Bros. Wii","","Wii","Physical (Unassigned)","NA","No","No","Owned","Finished","$21.56","","","","","","","Purchase","","","","11/15/2009","11/15/2009","4/29/2017","Platformer"
