"Name","Edition","Platform","Format","Region","Now Playing","Backlogged","Ownership Status","Progress Status","Est. Value","Amt. Paid","Tags","Box/Case","Cart/Disc","Manual","Extras","Acquisition Type","Acquisition Source","Acquisition Date","Rating","Initial Release Date","Item Release Date","Added On","Genre"
"Final Fantasy VII Remake","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","4/10/2020","4/10/2020","2/1/2021","Action RPG"
"Final Fantasy VIII","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","2/11/1999","12/5/2013","24/7/2018","JRPG"
"Final Fantasy VIII Remastered","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","9/3/2019","9/3/2019","2/1/2021","JRPG"
"Final Fantasy X","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Finished","","","","","","","","Purchase","","","9","7/19/2001","","24/7/2018","JRPG"
"Final Fantasy X-2","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","3/13/2003","","24/7/2018","RPG"
"Final Fantasy X/X-2 HD Remaster","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","12/26/2013","5/12/2016","24/7/2018","Compilation"
"Final Fantasy XII: The Zodiac Age","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","7/11/2017","2/1/2018","24/7/2018","JRPG"
"Final Fantasy XIII","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","12/17/2009","10/9/2014","24/7/2018","JRPG"
"Final Fantasy XIII-2","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","12/15/2011","12/11/2014","24/7/2018","RPG"
"Final Fantasy XV","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","11/29/2016","11/29/2016","2/1/2021","Action RPG"
"Final Fantasy XV: Comrades","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","12/15/2017","12/15/2017","2/1/2021","RPG"
"Final Fantasy XV: Episode Gladiolus","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","3/28/2017","3/28/2017","2/1/2021","Action RPG"
"Final Fantasy XV: Episode Ignis","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","12/13/2017","12/13/2017","2/1/2021","Action RPG"
"Final Fantasy XV: Episode Prompto","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","6/27/2017","6/27/2017","2/1/2021","Action RPG"
"Final Fantasy XV: Royal Edition","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","3/6/2018","3/6/2018","2/1/2021","Compilation"
"Fire Emblem: Shadow Dragon","","Nintendo Switch","Digital","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","8/7/2008","","2/1/2021","Tactical RPG"
"Fire Emblem: Three Houses","","Nintendo Switch","Digital","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","","7/26/2019","7/26/2019","2/1/2021","Tactical RPG"
"Fortune Summoners: Secret of the Elemental Stone","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","6/18/2009","1/30/2012","24/7/2018","Action RPG"
"FTL: Faster Than Light","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","9/14/2012","9/14/2012","19/1/2021","Real-time Strategy"
"Galactic Civilizations II: Dark Avatar","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","24/7/2018",""
"Galactic Civilizations II: Dread Lords","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","2/21/2006","","24/7/2018",""
"Galactic Civilizations II: Twilight of the Arnor","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","24/7/2018",""
"Galactic Civilizations II: Ultimate Edition","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","24/7/2018","Compilation"
"Gamedec - Definitive Edition","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","9/16/2021","","26/1/2026","RPG"
"Gauntlet (2014)","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","9/23/2014","","24/7/2018","Hack and Slash (Action)"
"Gauntlet: Slayer Edition","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","8/11/2015","","26/1/2026","Hack and Slash (Action)"
