"Name","Edition","Platform","Format","Region","Now Playing","Backlogged","Ownership Status","Progress Status","Est. Value","Amt. Paid","Tags","Box/Case","Cart/Disc","Manual","Extras","Acquisition Type","Acquisition Source","Acquisition Date","Rating","Initial Release Date","Item Release Date","Added On","Genre"
"Batman: The Telltale Series - Episode 3: New World Order","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","8","10/25/2016","","2/7/2018","Graphic Adventure"
"Batman: The Telltale Series - Episode 3: New World Order","","PC / Windows","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","8","10/25/2016","","7/25/2017","Graphic Adventure"
"Batman: The Telltale Series - Episode 3: New World Order","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","8","10/25/2016","","3/17/2021","Graphic Adventure"
"Batman: The Telltale Series - Episode 4: Guardian of Gotham","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","8","","","3/17/2021","Graphic Adventure"
"Batman: The Telltale Series - Episode 4: Guardian of Gotham","","PC / Windows","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","8","","","7/25/2017","Graphic Adventure"
"Batman: The Telltale Series - Episode 4: Guardian of Gotham","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","8","","","2/7/2018","Graphic Adventure"
"Batman: The Telltale Series - Episode 5: City of Lights","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","8","","","2/7/2018","Graphic Adventure"
"Batman: The Telltale Series - Episode 5: City of Lights","","PC / Windows","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","8","","","7/25/2017","Graphic Adventure"
"Batman: The Telltale Series - Episode 5: City of Lights","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","8","","","3/17/2021","Graphic Adventure"
"Battle Chef Brigade","","PC / Windows","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","11/20/2017","","7/3/2019",""
"Bayonetta","","PC / Windows","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","10/29/2009","","4/19/2019","Hack and Slash (Action)"
"Bayonetta","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","10/29/2009","","3/17/2021","Hack and Slash (Action)"
"Beyond Good & Evil","","PC / Windows","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","11/11/2003","11/19/2003","6/13/2018","Action-adventure"
"BioShock 2","","Xbox 360","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","$4.39","","","","","","","Purchase","","","","2/9/2010","2/9/2010","5/29/2017","First-person Shooter"
"BioShock 2: Minerva's Den","","PlayStation 4","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","8/23/2010","","2/27/2020","First-person Shooter"
"BioShock 2: Remastered","","PlayStation 4","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","9/12/2016","","2/27/2020","First-person Shooter"
"BioShock Infinite","","PlayStation 4","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","8","3/26/2013","","2/27/2020","First-person Shooter"
"BioShock Infinite","","Xbox 360","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","$3.83","","","","","","","Purchase","","","8","3/26/2013","3/26/2013","5/29/2017","First-person Shooter"
"BioShock Infinite: Burial at Sea","","PlayStation 4","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","11/12/2013","","2/27/2020",""
"BioShock Infinite: Clash in the Clouds","","PlayStation 4","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","7/30/2013","","2/27/2020",""
"BioShock: Remastered","","PlayStation 4","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","9/12/2016","","2/27/2020","First-person Shooter"
"BioShock: The Collection","","PlayStation 4","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","$11.75","","","","","","","Purchase","","","","9/12/2016","9/13/2016","2/27/2020","Compilation"
"Black Desert Online","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","3/3/2016","","3/17/2021","Action RPG"
"Bloodborne","","PlayStation 4","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","$14.16","","","","","","","Purchase","","","","3/24/2015","3/24/2015","10/1/2017","Action RPG"
"Bomber Crew","","PC / Windows","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","10/19/2017","","7/3/2019","Real-time Strategy"
"Borderlands","","PC / Windows","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","10/20/2009","10/26/2009","7/31/2018","Action RPG"
"Borderlands","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","10/20/2009","","3/17/2021","Action RPG"
"Borderlands","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","10/20/2009","","3/17/2021","Action RPG"
"Borderlands","","Xbox 360","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","$4.87","","","","","","","Purchase","","","","10/20/2009","10/20/2009","5/29/2017","Action RPG"
"Borderlands 2","","Xbox 360","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","$3.98","","","","","","","Purchase","","","","9/18/2012","9/18/2012","5/29/2017","Action RPG"
"Borderlands: Claptrap's New Robot Revolution","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","9/28/2010","","3/17/2021","Action RPG"
"Borderlands: Claptrap's New Robot Revolution","","PC / Windows","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","9/28/2010","","7/31/2018","Action RPG"
"Borderlands: Game of the Year Edition (2010)","","PC / Windows","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","10/20/2009","10/20/2009","7/31/2018","Compilation"
"Borderlands: Game of the Year Edition (2019)","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","4/3/2019","","3/17/2021","Compilation"
"Borderlands: Mad Moxxi's Underdome Riot","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","1/7/2010","","3/17/2021","Action RPG"
"Borderlands: Mad Moxxi's Underdome Riot","","PC / Windows","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","1/7/2010","","7/31/2018","Action RPG"
"Borderlands: The Pre-Sequel!","","Xbox 360","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","$5.50","","","","","","","Purchase","","","","10/14/2014","10/14/2014","5/29/2017","Action RPG"
"Borderlands: The Secret Armory of General Knoxx","","PC / Windows","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","2/23/2010","","7/31/2018","Action RPG"
"Borderlands: The Secret Armory of General Knoxx","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","2/23/2010","","3/17/2021","Action RPG"
"Borderlands: The Zombie Island of Dr. Ned","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","11/24/2009","","3/17/2021","Action RPG"
"Borderlands: The Zombie Island of Dr. Ned","","PC / Windows","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","11/24/2009","","7/31/2018","Action RPG"
"Bridge","","PC / Windows","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","1980","","7/3/2019","Card Game"
"Broforce","","PC / Windows","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","10/15/2015","","7/3/2019","Platformer"
"Broken Age","","PC / Windows","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","1/28/2014","4/28/2015","7/3/2019","Graphic Adventure"
"Brutal Legend","","PC / Windows","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","10/13/2009","","7/3/2019","Action-adventure"
"Call of Duty 2: Big Red One","","PlayStation 2","Physical (Unassigned)","NA","No","No","Owned","Finished","$5.60","","","","","","","Purchase","","","7","11/1/2005","11/1/2005","8/16/2017","First-person Shooter"
