"Name","Edition","Platform","Format","Region","Now Playing","Backlogged","Ownership Status","Progress Status","Est. Value","Amt. Paid","Tags","Box/Case","Cart/Disc","Manual","Extras","Acquisition Type","Acquisition Source","Acquisition Date","Rating","Initial Release Date","Item Release Date","Added On","Genre"
"The Banner Saga","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","1/14/2014","","7/17/2023","Tactical RPG"
"The Bard's Tale (2004)","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","10/26/2004","","7/17/2023","Hack and Slash (RPG)"
"The Basement Collection","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","8/31/2012","","7/17/2023","Compilation"
"Bastion","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","10","7/20/2011","","7/17/2023","Action RPG"
"Batman: Arkham Asylum - Game of the Year Edition","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","8","3/26/2010","","7/17/2023","Action-adventure"
"Batman: Arkham Origins","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","10/24/2013","","7/17/2023","Action-adventure"
"Batman: Arkham Origins Blackgate","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","10/25/2013","","7/17/2023","Platform-adventure"
"Battle Chef Brigade","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","11/20/2017","","7/17/2023",""
"Battlestar Galactica Deadlock","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","8/31/2017","","7/17/2023","Tactical RPG"
"Bear With Me - Collector's Edition","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","3/2/2018","","7/17/2023","Graphic Adventure"
"The Beast Within: A Gabriel Knight Mystery","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","8/29/2016","","7/17/2023","Interactive Movie"
"Beat Saber","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","10","5/1/2018","5/1/2018","7/17/2023","Rhythm"
"Bee Simulator","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","","","7/17/2023","Simulation"
"Ben There, Dan That!","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","8/25/2009","","7/17/2023","Graphic Adventure"
"The Binding of Isaac","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","8","9/28/2011","","7/17/2023","Multidirectional Shooter"
"Bionic Dues","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","10/8/2013","","7/17/2023","Turn-based Strategy"
"BioShock","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","10","8/21/2007","","7/17/2023","First-person Shooter"
"BioShock 2","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","8","2/9/2010","","7/17/2023","First-person Shooter"
"BioShock 2: Remastered","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","8","9/12/2016","","7/17/2023","First-person Shooter"
"BioShock Infinite","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","9","3/26/2013","","7/17/2023","First-person Shooter"
"BioShock: Remastered","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","9","9/12/2016","","7/17/2023","First-person Shooter"
"Bit.Trip Presents... Runner2: Future Legend of Rhythm Alien","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","8","2/26/2013","","7/17/2023","Platformer"
"Bit.Trip Runner","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","8","5/14/2010","","7/17/2023","Platformer"
"Black Desert Online","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","3/3/2016","","7/17/2023","Action RPG"
"Black The Fall","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","5","7/11/2017","7/11/2017","7/17/2023","Cinematic-platform"
