"Name","Edition","Platform","Format","Region","Now Playing","Backlogged","Ownership Status","Progress Status","Est. Value","Amt. Paid","Tags","Box/Case","Cart/Disc","Manual","Extras","Acquisition Type","Acquisition Source","Acquisition Date","Rating","Initial Release Date","Item Release Date","Added On","Genre"
"LEGO DC Super-Villains","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","10/16/2018","","2026-02-01","Action-adventure"
"LEGO Jurassic World","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","6/11/2015","6/12/2015","2026-02-01","Action-adventure"
"LEGO Marvel Super Heroes","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","10/22/2013","","2026-02-01","Action-adventure"
"LEGO Marvel Super Heroes 2","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","2026-02-01","Action-adventure"
"LEGO Marvel's Avengers","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","1/26/2016","","2026-02-01","Action-adventure"
"The LEGO Movie 2 Videogame","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","2/26/2019","","2026-02-01","Action-adventure"
"The LEGO Movie Videogame","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","2/7/2014","2/7/2014","2026-02-01","Action-adventure"
"LEGO Star Wars: The Force Awakens","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","6/27/2016","","2026-02-01","Action-adventure"
"LEGO Star Wars: The Skywalker Saga","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","4/5/2022","","2026-02-01","Action-adventure"
"LEGO The Hobbit","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","4/8/2014","4/8/2014","2026-02-01","Action-adventure"
"LEGO The Incredibles","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","2026-02-01","Action-adventure"
"LEGO The Lord of the Rings","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","10/30/2012","","2026-02-01","Action-adventure"
"LEGO The Ninjago Movie Videogame","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","9/22/2017","9/22/2017","2026-02-01","Action-adventure"
